,0,1,2,3,4,5,6,7
120,-7603.1689453125,-4092.782958984375,-5754.43408203125,-5412.63134765625,-5677.923828125,-4751.48876953125,-4963.98681640625,-5754.1435546875
121,-7601.89501953125,-4091.888916015625,-5753.40576171875,-5410.39599609375,-5676.22509765625,-4749.6337890625,-4962.06494140625,-5753.20458984375
122,-7599.88330078125,-4090.190185546875,-5751.19287109375,-5408.138671875,-5674.5712890625,-4747.443359375,-4961.26025390625,-5751.99755859375
123,-7597.93896484375,-4087.64208984375,-5749.20361328125,-5405.56787109375,-5672.9619140625,-4746.03515625,-4958.97998046875,-5749.94140625
124,-7596.3740234375,-4085.65283203125,-5748.24267578125,-5403.84716796875,-5670.65966796875,-4745.4765625,-4955.9404296875,-5747.99658203125
125,-7595.94970703125,-4085.45166015625,-5749.00244140625,-5403.82470703125,-5670.16796875,-4745.4091796875,-4955.314453125,-5747.68359375
126,-7595.1669921875,-4083.596435546875,-5748.86865234375,-5402.64013671875,-5669.005859375,-4744.53759765625,-4953.90625,-5746.767578125
127,-7593.826171875,-4081.093017578125,-5747.61669921875,-5399.42138671875,-5667.3515625,-4743.0400390625,-4951.82763671875,-5744.509765625
128,-7590.7861328125,-4078.031005859375,-5744.01806640625,-5395.82275390625,-5664.28955078125,-4740.40234375,-4948.36328125,-5741.82763671875
129,-7590.8310546875,-4078.701416015625,-5744.0849609375,-5396.96240234375,-5663.328125,-4740.17919921875,-4948.0947265625,-5741.73828125
130,-7591.30029296875,-4080.44482421875,-5746.5439453125,-5401.16455078125,-5662.970703125,-4742.2802734375,-4947.71484375,-5742.85595703125
131,-7590.205078125,-4080.534423828125,-5746.9013671875,-5403.37744140625,-5662.25537109375,-4743.62109375,-4947.1337890625,-5743.07958984375
132,-7589.6240234375,-4078.88037109375,-5746.1416015625,-5401.76806640625,-5661.51806640625,-4742.34716796875,-4945.5693359375,-5742.07373046875
133,-7589.55712890625,-4077.203857421875,-5745.42626953125,-5400.29296875,-5661.607421875,-4742.212890625,-4944.18310546875,-5741.939453125
134,-7588.55126953125,-4074.722900390625,-5743.951171875,-5397.8564453125,-5660.19921875,-4740.69287109375,-4942.484375,-5740.19580078125
135,-7589.31103515625,-4076.332275390625,-5745.2919921875,-5399.37646484375,-5661.62939453125,-4741.7880859375,-4944.47412109375,-5741.9169921875
136,-7589.15478515625,-4077.5615234375,-5746.61083984375,-5400.7177734375,-5661.83056640625,-4743.08447265625,-4945.904296875,-5742.07373046875
137,-7586.830078125,-4075.996826171875,-5744.21923828125,-5398.9296875,-5660.6240234375,-4742.01171875,-4945.03271484375,-5740.19580078125
138,-7587.32177734375,-4076.26513671875,-5743.9287109375,-5398.21435546875,-5660.5791015625,-4740.98388671875,-4945.01025390625,-5740.28515625
139,-7586.3828125,-4073.538330078125,-5742.18505859375,-5394.83935546875,-5658.85791015625,-4739.0615234375,-4942.126953125,-5738.45263671875
140,-7585.4443359375,-4072.15234375,-5741.58203125,-5393.18505859375,-5658.50048828125,-4738.2568359375,-4940.22705078125,-5737.24560546875
141,-7587.32177734375,-4073.87353515625,-5743.66064453125,-5395.04052734375,-5660.3779296875,-4739.44140625,-4942.57421875,-5738.25146484375
142,-7587.232421875,-4073.515869140625,-5742.78857421875,-5394.146484375,-5660.1767578125,-4738.189453125,-4942.08251953125,-5737.84912109375
143,-7586.025390625,-4070.3642578125,-5739.7490234375,-5390.79345703125,-5658.9921875,-4735.93212890625,-4939.22119140625,-5736.3291015625
144,-7587.09814453125,-4071.28076171875,-5740.7548828125,-5391.97802734375,-5659.193359375,-4737.69775390625,-4939.712890625,-5736.82080078125
